,Index1,Times,IMU_Task3,ax1,ay2,az3,gx4,gy5,gz6
0,2,1661060424,IMU,0.03,-0.07,1.02,-0.73,0.67,0.79
1,3,1661060424,IMU,0.03,-0.07,1.02,-0.67,0.73,0.92
2,4,1661060424,IMU,0.03,-0.07,1.02,-0.73,0.67,0.92
3,5,1661060424,IMU,0.03,-0.07,1.02,-0.67,0.79,0.92
4,6,1661060424,IMU,0.03,-0.07,1.02,-0.67,0.73,1.1
5,7,1661060424,IMU,0.03,-0.07,1.02,-0.55,0.61,1.04
6,8,1661060424,IMU,0.03,-0.07,1.02,-0.49,0.79,1.16
7,9,1661060424,IMU,0.03,-0.07,1.02,-0.92,0.79,1.04
8,10,1661060424,IMU,0.03,-0.07,1.02,-0.67,0.79,0.98
