,Index1,Times,IMU_Task3,ax1,ay2,az3,gx4,gy5,gz6
0,2,1661076107,IMU,0.04,-0.08,1.02,-0.79,0.79,0.67
1,3,1661076107,IMU,0.04,-0.08,1.02,-0.85,0.55,0.85
2,4,1661076107,IMU,0.04,-0.08,1.02,-0.85,0.67,0.92
3,5,1661076107,IMU,0.04,-0.08,1.02,-0.79,0.67,0.85
4,6,1661076107,IMU,0.04,-0.08,1.02,-0.85,0.73,0.73
5,7,1661076107,IMU,0.04,-0.08,1.02,-0.98,0.85,0.73
6,8,1661076107,IMU,0.04,-0.08,1.02,-0.98,0.79,0.61
7,9,1661076107,IMU,0.04,-0.08,1.02,-0.85,0.67,0.85
8,10,1661076107,IMU,0.04,-0.08,1.02,-0.98,0.67,0.73
9,1,1661076120,IMU,0.03,-0.08,1.02,-0.79,0.55,0.67
10,2,1661076120,IMU,0.03,-0.08,1.02,-0.79,0.55,0.67
11,3,1661076120,IMU,0.03,-0.08,1.02,-0.73,0.85,0.67
12,4,1661076120,IMU,0.04,-0.08,1.02,-0.85,0.55,0.79
13,5,1661076120,IMU,0.03,-0.08,1.02,-0.73,0.55,0.92
14,6,1661076120,IMU,0.03,-0.08,1.02,-0.67,0.55,0.92
15,7,1661076120,IMU,0.03,-0.08,1.02,-0.73,0.79,0.79
16,8,1661076120,IMU,0.03,-0.08,1.02,-0.79,0.79,0.73
17,9,1661076120,IMU,0.04,-0.08,1.02,-0.85,0.85,0.79
18,10,1661076120,IMU,0.03,-0.08,1.02,-0.79,0.73,0.85
