Ax,Ay,Az,Ga,Gy,Gz
-0.02,-0.11,-0.99,-0.79,0.61,0.92
-0.02,-0.11,-0.99,-1.28,1.4,0.92
-0.02,-0.11,-0.99,-0.61,0.79,0.73
-0.02,-0.11,-0.99,-0.79,0.79,0.92
-0.02,-0.11,-0.99,-1.16,0.85,0.98
-0.02,-0.11,-0.99,-0.61,1.1,0.85
-0.02,-0.11,-0.99,-0.37,1.04,0.61
-0.02,-0.11,-0.99,-0.67,0.73,0.98
-0.02,-0.11,-0.99,-0.37,0.98,0.61
-0.02,-0.11,-0.99,-0.67,0.92,0.92
-0.02,-0.11,-0.99,-0.49,0.92,0.73
-0.02,-0.11,-0.99,-0.73,0.67,0.73
-0.02,-0.11,-0.99,-0.61,0.61,1.1
-0.02,-0.11,-0.99,-0.12,0.55,1.1
-0.02,-0.11,-0.99,-0.73,0.67,0.79
-0.02,-0.11,-0.99,-0.61,0.98,0.85
-0.02,-0.11,-0.99,-0.55,1.04,1.1
-0.02,-0.11,-0.99,-0.61,0.85,0.98
-0.02,-0.11,-0.99,-0.61,0.85,0.92
-0.02,-0.11,-0.99,-0.55,1.22,0.79
-0.02,-0.11,-0.99,-0.73,0.85,0.85
-0.02,-0.11,-0.99,-0.61,0.98,0.92
-0.02,-0.11,-0.99,-0.49,1.1,0.85
-0.02,-0.11,-0.99,-0.61,0.55,1.04
-0.02,-0.11,-0.99,-1.16,0.79,1.1
-0.02,-0.11,-0.99,-0.55,0.73,0.98
