Ax,Ay,Az,Ga,Gy,Gz
-0.04,-0.14,-0.98,-1.04,1.04,0.85
-0.04,-0.13,-0.98,-0.31,1.28,0.85
-0.04,-0.13,-0.98,-0.49,1.1,0.92
-0.04,-0.13,-0.98,-0.67,0.92,0.73
-0.04,-0.13,-0.99,-0.85,0.73,0.85
-0.03,-0.13,-0.98,-0.85,1.04,0.98
-0.04,-0.13,-0.99,-0.79,1.22,0.98
-0.04,-0.13,-0.99,-0.61,1.1,0.92
-0.03,-0.13,-0.98,-0.55,0.98,0.79
-0.04,-0.13,-0.98,-0.85,1.1,0.79
-0.04,-0.13,-0.98,-0.67,0.85,0.85
-0.04,-0.14,-0.98,-0.85,0.79,0.85
-0.04,-0.13,-0.98,-0.55,0.92,0.73
-0.04,-0.13,-0.98,-0.79,0.67,0.85
-0.04,-0.13,-0.98,-0.67,0.73,0.85
-0.03,-0.13,-0.99,-0.55,1.28,0.79
-0.03,-0.13,-0.99,-0.85,0.92,1.04
-0.04,-0.13,-0.98,-0.61,0.92,1.04
-0.03,-0.13,-0.99,-0.85,0.61,1.04
-0.04,-0.13,-0.98,-0.31,0.67,1.04
-0.03,-0.14,-0.98,-0.92,0.92,0.98
-0.04,-0.13,-0.98,-0.67,0.79,0.79
-0.04,-0.13,-0.99,-0.85,0.92,0.98
-0.04,-0.13,-0.98,-0.49,1.04,0.85
-0.04,-0.13,-0.99,-0.85,0.79,1.04
-0.04,-0.13,-0.98,-0.49,0.79,0.73
-0.03,-0.13,-0.99,-0.43,0.73,1.04
-0.04,-0.13,-0.98,-0.79,0.67,0.85
-0.04,-0.13,-0.98,-0.92,0.79,0.92
-0.04,-0.13,-0.99,-0.61,1.1,0.92
-0.04,-0.14,-0.99,-0.49,0.79,0.92
-0.04,-0.13,-0.98,-1.1,0.85,0.85
-0.04,-0.13,-0.98,-0.79,0.98,0.85
-0.04,-0.13,-0.98,-0.79,0.61,1.04
-0.04,-0.13,-0.98,-0.67,1.1,0.85
-0.04,-0.13,-0.99,-0.61,0.85,0.92
-0.04,-0.13,-0.99,-0.92,0.98,0.79
-0.04,-0.13,-0.98,-0.79,1.04,0.79
-0.04,-0.13,-0.98,-0.85,0.92,0.92
-0.04,-0.13,-0.98,-0.55,0.92,1.04
-0.03,-0.13,-0.98,-1.28,1.34,0.79
-0.04,-0.13,-0.98,-0.55,0.98,0.98
-0.04,-0.13,-0.98,-0.55,0.79,0.92
-0.03,-0.13,-0.99,-0.73,0.73,1.04
-0.03,-0.13,-0.98,-0.92,0.98,0.92
-0.04,-0.13,-0.98,-1.34,1.1,1.04
