Ax,Ay,Az,Ga,Gy,Gz
0.02,-0.31,0.99,-0.12,0.85,1.04
0.02,-0.31,0.99,-0.49,0.98,1.28
0.02,-0.31,0.99,-0.37,0.79,1.04
0.02,-0.31,0.99,-0.61,0.73,1.1
0.02,-0.31,0.99,-0.67,0.85,1.28
0.02,-0.31,0.99,-0.43,0.67,1.1
0.02,-0.31,0.99,-0.55,0.67,0.98
0.02,-0.31,0.99,-0.55,0.61,0.98
0.02,-0.31,0.99,-0.49,0.73,1.16
0.02,-0.31,0.99,-0.73,0.67,1.22
0.02,-0.31,0.99,-0.55,0.79,1.1
0.02,-0.31,0.99,-0.49,0.61,0.85
0.02,-0.31,0.99,-0.61,0.98,0.98
0.02,-0.31,0.99,-0.61,0.79,1.22
0.02,-0.31,0.99,-0.43,0.79,1.16
0.02,-0.31,0.99,-0.67,0.92,0.98
0.02,-0.31,0.99,-0.31,0.67,1.1
0.02,-0.31,0.99,-0.55,0.55,0.98
0.02,-0.31,0.99,-0.55,0.85,1.16
0.02,-0.31,0.99,-0.55,0.98,1.28
0.02,-0.31,0.99,-0.49,0.98,1.16
0.02,-0.31,0.99,-0.61,0.85,0.98
0.02,-0.31,0.99,-0.49,0.85,0.79
0.02,-0.31,0.99,-0.55,0.73,1.16
0.02,-0.31,0.99,-0.73,0.79,1.16
0.02,-0.31,0.99,-0.61,0.85,0.98
0.02,-0.31,0.99,-0.49,0.73,1.04
0.02,-0.31,0.99,-0.55,0.79,1.04
0.02,-0.31,0.99,-0.61,0.85,1.04
0.02,-0.31,0.99,-0.49,0.79,1.1
0.02,-0.31,0.99,-0.55,0.98,1.16
0.02,-0.31,0.99,-0.37,0.85,1.16
0.02,-0.31,0.99,-0.61,0.85,1.16
0.02,-0.31,0.99,-0.24,0.67,0.79
0.02,-0.31,0.99,-0.49,0.67,1.22
0.02,-0.31,0.99,-0.49,0.85,1.16
0.02,-0.31,0.99,-0.49,0.92,1.16
0.02,-0.31,0.99,-0.43,0.79,1.1
0.02,-0.31,0.99,-0.55,0.73,1.22
0.02,-0.31,0.99,-0.73,0.61,0.98
0.02,-0.31,0.99,-0.55,0.79,0.92
0.02,-0.31,0.99,-0.55,0.85,1.22
0.02,-0.31,0.99,-0.37,0.85,1.28
0.02,-0.31,0.99,-0.43,0.92,1.16
0.02,-0.31,0.99,-0.73,0.73,1.1
0.02,-0.31,0.99,-0.37,0.67,0.92
0.02,-0.31,0.99,-0.73,0.85,1.16
0.02,-0.31,0.99,-0.61,0.98,1.1
0.02,-0.31,0.99,-0.61,0.92,1.1
0.02,-0.31,0.99,-0.49,0.79,0.98
0.02,-0.31,0.99,-0.55,0.79,1.1
0.02,-0.3,0.99,-0.61,0.67,1.04
0.02,-0.31,0.99,-0.55,0.73,1.1
0.02,-0.31,0.99,-0.12,0.92,1.04
0.02,-0.31,0.99,-0.98,0.67,1.22
0.02,-0.31,0.99,-0.92,0.92,1.22
0.02,-0.31,0.98,-0.06,0.61,0.92
0.02,-0.31,0.99,-0.61,0.92,1.04
0.02,-0.31,0.99,-0.43,0.92,1.22
0.02,-0.31,0.99,-0.31,0.85,1.16
0.02,-0.31,0.99,-0.55,0.79,1.1
0.02,-0.31,0.99,-0.43,0.92,1.16
0.02,-0.31,0.99,-0.37,0.55,0.92
0.02,-0.31,0.99,-0.43,0.85,1.04
0.02,-0.31,0.99,-0.61,0.85,1.16
0.02,-0.31,0.99,-0.55,0.85,1.1
0.02,-0.31,0.99,-0.55,0.73,1.16
0.02,-0.31,0.99,-0.37,0.49,0.92
