Ax,Ay,Az,Ga,Gy,Gz
0.02,-0.31,0.99,-0.67,0.73,1.28
0.02,-0.31,0.99,-0.43,0.98,1.28
0.02,-0.31,0.99,-0.73,0.79,1.1
0.02,-0.31,0.99,-0.55,0.67,0.92
0.02,-0.31,0.99,-0.37,0.67,0.98
0.02,-0.31,0.97,1.4,0.73,1.1
0.02,-0.31,0.98,-1.22,0.85,1.34
0.02,-0.31,1.0,-1.28,1.1,1.16
0.02,-0.31,0.97,0.98,0.49,1.1
0.02,-0.31,0.99,-0.49,0.85,1.1
0.02,-0.31,0.99,-0.43,0.79,1.04
0.02,-0.31,0.99,-0.49,0.92,1.28
0.02,-0.31,0.99,-0.43,0.85,1.16
0.02,-0.31,0.99,-0.98,0.98,1.34
0.01,-0.3,0.97,0.61,0.61,0.98
0.02,-0.31,0.99,-0.37,0.79,1.1
0.02,-0.31,0.99,-0.67,0.85,1.22
0.02,-0.31,0.98,0.0,0.85,1.28
0.02,-0.31,0.99,-0.73,0.85,1.1
0.02,-0.31,0.99,-0.55,0.67,1.28
0.02,-0.31,0.99,-0.49,0.92,1.22
0.02,-0.31,0.99,-0.31,0.85,1.04
0.02,-0.31,0.99,-0.49,0.85,1.16
0.02,-0.31,0.99,-0.37,0.73,1.28
0.02,-0.31,0.99,-0.31,0.98,1.04
0.02,-0.31,0.99,-0.49,1.1,1.16
0.02,-0.31,0.99,-0.37,0.92,1.04
